Group,Area,exploration,communication,feedback,extracurriculars,help_others,confidence,adv_courses,Colab,Exp,Resouce,hours,class
Yes,NLP,No,Neutral,Verbal,7,4,4,Yes,Independent,4,Study Group,6,Intermediate
Yes,Deep Learning,No,Enjoy Communicating,Written,3,3,3,No,Independent,3,Peer Discussion,3,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Written,4,3,3,Yes,Independent,5,TextBook,4,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,8,3,3,Yes,Independent,4,TextBook,3,Intermediate
No,Deep Learning,Yes,Neutral,Written,9,3,6,No,Neutral,4,Online,3,Intermediate
Yes,Computer Vision,No,Dislike,Verbal,5,5,6,No,Highly Collaborating,6,Online,6,Intermediate
Yes,Computer Vision,No,Neutral,Written,6,6,4,No,Highly Collaborating,4,Peer Discussion,4,Intermediate
No,Data Analysis,No,Enjoy Communicating,Verbal,2,4,6,Yes,Highly Collaborating,5,Peer Discussion,6,Intermediate
Yes,Data Analysis,No,Dislike,Verbal,2,4,6,Yes,Neutral,5,Peer Discussion,5,Intermediate
No,Computer Vision,No,Enjoy Communicating,Written,6,4,5,Yes,Independent,3,Online,5,Intermediate
Yes,Computer Vision,No,Neutral,Verbal,1,4,3,Yes,Neutral,6,Online,5,Intermediate
Yes,Computer Vision,Yes,Neutral,Verbal,6,3,5,Yes,Independent,6,TextBook,3,Intermediate
Yes,Data Analysis,Yes,Dislike,Written,2,3,4,No,Highly Collaborating,4,TextBook,5,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Verbal,1,4,5,No,Highly Collaborating,6,Online,4,Intermediate
No,Deep Learning,No,Dislike,Written,10,3,6,No,Highly Collaborating,6,Online,3,Intermediate
No,NLP,No,Neutral,Verbal,4,4,5,Yes,Highly Collaborating,3,Online,3,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Written,4,6,5,No,Neutral,6,Study Group,6,Intermediate
Yes,Data Analysis,Yes,Neutral,Verbal,8,4,3,Yes,Highly Collaborating,3,Study Group,4,Intermediate
Yes,Deep Learning,Yes,Neutral,Written,2,4,5,Yes,Independent,5,Study Group,4,Intermediate
No,NLP,Yes,Dislike,Written,10,4,6,Yes,Independent,5,Study Group,6,Intermediate
No,NLP,No,Enjoy Communicating,Verbal,6,3,3,No,Independent,5,Online,5,Intermediate
No,Computer Vision,No,Neutral,Written,1,3,5,No,Neutral,4,TextBook,3,Intermediate
Yes,NLP,Yes,Neutral,Written,7,5,3,No,Independent,5,Study Group,6,Intermediate
No,Deep Learning,Yes,Enjoy Communicating,Written,10,6,6,No,Highly Collaborating,6,Peer Discussion,5,Intermediate
No,NLP,Yes,Dislike,Written,3,6,6,Yes,Independent,5,Online,5,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Verbal,3,5,5,No,Neutral,3,Peer Discussion,3,Intermediate
No,Deep Learning,Yes,Dislike,Written,9,6,5,No,Independent,3,Peer Discussion,6,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,2,5,3,No,Highly Collaborating,3,Study Group,4,Intermediate
Yes,Deep Learning,Yes,Neutral,Verbal,10,4,5,No,Independent,5,Online,6,Intermediate
Yes,Computer Vision,Yes,Neutral,Verbal,10,6,5,No,Neutral,5,Study Group,6,Intermediate
Yes,Computer Vision,Yes,Dislike,Written,6,6,5,Yes,Independent,6,TextBook,3,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Verbal,2,6,6,Yes,Highly Collaborating,4,Peer Discussion,5,Intermediate
No,Computer Vision,No,Dislike,Verbal,8,4,3,No,Neutral,3,Peer Discussion,3,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Verbal,9,5,4,Yes,Neutral,6,TextBook,6,Intermediate
No,Deep Learning,No,Dislike,Written,5,3,6,No,Independent,4,Peer Discussion,4,Intermediate
No,NLP,No,Neutral,Written,6,6,6,No,Neutral,6,Study Group,6,Intermediate
No,Data Analysis,No,Enjoy Communicating,Verbal,5,3,4,No,Neutral,5,Study Group,4,Intermediate
No,Deep Learning,No,Neutral,Written,3,6,6,Yes,Neutral,3,Online,6,Intermediate
No,Data Analysis,No,Enjoy Communicating,Verbal,9,5,3,No,Highly Collaborating,4,Study Group,5,Intermediate
No,NLP,Yes,Neutral,Verbal,2,3,3,Yes,Neutral,4,Peer Discussion,3,Intermediate
Yes,Computer Vision,No,Neutral,Verbal,5,3,3,No,Neutral,3,Peer Discussion,3,Intermediate
Yes,NLP,Yes,Enjoy Communicating,Verbal,9,6,6,No,Independent,5,Online,3,Intermediate
No,Deep Learning,No,Dislike,Written,8,3,4,No,Highly Collaborating,5,Online,4,Intermediate
No,Deep Learning,No,Enjoy Communicating,Verbal,10,6,6,Yes,Highly Collaborating,3,Peer Discussion,4,Intermediate
No,Computer Vision,No,Dislike,Written,2,3,5,Yes,Neutral,4,Peer Discussion,3,Intermediate
No,Deep Learning,No,Dislike,Verbal,9,6,4,Yes,Neutral,6,Study Group,5,Intermediate
No,Data Analysis,Yes,Neutral,Verbal,9,6,5,Yes,Independent,5,Peer Discussion,4,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Written,2,4,5,Yes,Highly Collaborating,6,Online,5,Intermediate
Yes,Data Analysis,Yes,Neutral,Verbal,2,3,4,Yes,Independent,5,Online,3,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Written,9,4,3,Yes,Neutral,5,Study Group,6,Intermediate
No,Deep Learning,No,Neutral,Verbal,7,4,3,No,Highly Collaborating,3,Study Group,5,Intermediate
No,Computer Vision,Yes,Dislike,Written,8,4,3,Yes,Highly Collaborating,3,Study Group,4,Intermediate
Yes,Deep Learning,No,Dislike,Verbal,5,5,6,No,Independent,4,Study Group,6,Intermediate
No,Deep Learning,Yes,Neutral,Written,9,3,6,No,Independent,3,TextBook,6,Intermediate
Yes,NLP,Yes,Enjoy Communicating,Verbal,6,5,6,Yes,Highly Collaborating,4,Peer Discussion,3,Intermediate
No,NLP,Yes,Dislike,Written,1,4,5,Yes,Independent,5,TextBook,3,Intermediate
No,Data Analysis,Yes,Dislike,Written,5,5,3,Yes,Independent,3,TextBook,3,Intermediate
Yes,Deep Learning,No,Neutral,Written,8,4,4,No,Independent,3,TextBook,6,Intermediate
No,Deep Learning,Yes,Enjoy Communicating,Verbal,10,4,3,Yes,Neutral,6,Study Group,4,Intermediate
Yes,NLP,No,Dislike,Written,9,4,4,Yes,Neutral,5,Peer Discussion,4,Intermediate
No,NLP,No,Neutral,Verbal,8,6,5,Yes,Highly Collaborating,5,Peer Discussion,4,Intermediate
No,Data Analysis,No,Dislike,Written,9,5,4,Yes,Highly Collaborating,4,Peer Discussion,6,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,9,3,4,Yes,Independent,5,Study Group,4,Intermediate
Yes,NLP,Yes,Enjoy Communicating,Written,4,4,3,No,Independent,5,Online,6,Intermediate
Yes,Deep Learning,No,Enjoy Communicating,Written,6,4,4,No,Highly Collaborating,4,Study Group,6,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,5,4,5,Yes,Neutral,3,Online,5,Intermediate
No,Computer Vision,No,Enjoy Communicating,Verbal,2,3,4,No,Highly Collaborating,4,Online,4,Intermediate
Yes,Deep Learning,Yes,Dislike,Written,6,4,5,No,Neutral,4,Online,3,Intermediate
Yes,Data Analysis,Yes,Enjoy Communicating,Written,9,3,6,No,Neutral,5,TextBook,4,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,1,4,5,Yes,Neutral,6,TextBook,6,Intermediate
No,NLP,Yes,Neutral,Written,2,6,6,No,Highly Collaborating,5,Online,3,Intermediate
Yes,Computer Vision,No,Dislike,Verbal,2,6,3,Yes,Highly Collaborating,4,Peer Discussion,5,Intermediate
No,Data Analysis,No,Neutral,Verbal,7,6,5,No,Independent,3,Online,6,Intermediate
No,Data Analysis,No,Dislike,Verbal,5,6,5,Yes,Highly Collaborating,3,TextBook,3,Intermediate
No,NLP,Yes,Dislike,Verbal,5,3,5,Yes,Highly Collaborating,4,TextBook,4,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Verbal,10,3,5,Yes,Independent,5,Online,6,Intermediate
Yes,NLP,Yes,Dislike,Verbal,3,5,4,No,Neutral,4,Online,3,Intermediate
No,Data Analysis,No,Enjoy Communicating,Written,7,5,5,Yes,Neutral,4,TextBook,4,Intermediate
Yes,NLP,No,Dislike,Written,7,6,5,No,Independent,4,Online,6,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Written,1,3,4,Yes,Neutral,4,TextBook,5,Intermediate
No,Computer Vision,No,Enjoy Communicating,Written,7,3,3,Yes,Neutral,6,TextBook,4,Intermediate
No,Deep Learning,Yes,Dislike,Verbal,1,4,6,Yes,Independent,6,Study Group,6,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Written,5,5,5,No,Highly Collaborating,5,TextBook,5,Intermediate
No,Computer Vision,No,Enjoy Communicating,Written,8,5,5,Yes,Highly Collaborating,4,Peer Discussion,5,Intermediate
Yes,Deep Learning,No,Dislike,Written,4,4,6,No,Independent,6,Online,5,Intermediate
Yes,Data Analysis,No,Neutral,Written,8,3,4,No,Highly Collaborating,5,TextBook,3,Intermediate
Yes,Data Analysis,No,Neutral,Verbal,4,6,3,No,Highly Collaborating,3,Peer Discussion,5,Intermediate
Yes,Computer Vision,No,Dislike,Verbal,4,6,3,Yes,Independent,6,Study Group,3,Intermediate
Yes,NLP,No,Neutral,Verbal,7,6,6,No,Independent,4,Peer Discussion,4,Intermediate
No,Computer Vision,Yes,Neutral,Verbal,6,5,5,No,Highly Collaborating,4,TextBook,4,Intermediate
No,NLP,Yes,Enjoy Communicating,Written,6,3,5,Yes,Neutral,5,Study Group,6,Intermediate
No,NLP,No,Dislike,Written,3,3,3,No,Neutral,5,TextBook,5,Intermediate
Yes,Computer Vision,No,Dislike,Verbal,8,3,5,No,Neutral,5,Study Group,4,Intermediate
Yes,Data Analysis,Yes,Neutral,Written,9,4,6,Yes,Highly Collaborating,3,Peer Discussion,6,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Verbal,9,5,4,Yes,Independent,3,Study Group,6,Intermediate
Yes,Deep Learning,Yes,Neutral,Written,1,4,4,No,Independent,4,Online,5,Intermediate
No,Deep Learning,Yes,Dislike,Written,6,3,5,No,Independent,4,TextBook,3,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Written,6,5,4,No,Highly Collaborating,3,TextBook,3,Intermediate
No,NLP,Yes,Enjoy Communicating,Written,8,3,4,No,Highly Collaborating,3,TextBook,3,Intermediate
No,Data Analysis,No,Enjoy Communicating,Written,4,6,6,No,Independent,6,TextBook,4,Intermediate
No,Data Analysis,Yes,Neutral,Verbal,7,4,3,Yes,Neutral,3,Online,4,Intermediate
No,Computer Vision,No,Neutral,Written,4,3,5,No,Neutral,5,Study Group,5,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,10,3,5,No,Independent,6,Online,5,Intermediate
No,Computer Vision,No,Dislike,Verbal,7,5,3,No,Neutral,4,Study Group,5,Intermediate
No,Deep Learning,No,Neutral,Written,3,4,3,No,Independent,3,Online,5,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,1,5,4,No,Highly Collaborating,5,TextBook,5,Intermediate
No,Data Analysis,Yes,Dislike,Verbal,6,4,4,Yes,Independent,6,Online,4,Intermediate
Yes,Computer Vision,No,Enjoy Communicating,Verbal,10,6,3,Yes,Highly Collaborating,3,Peer Discussion,3,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Written,5,6,5,No,Highly Collaborating,5,Online,4,Intermediate
Yes,NLP,Yes,Enjoy Communicating,Verbal,7,6,3,Yes,Independent,4,Peer Discussion,6,Intermediate
Yes,NLP,No,Neutral,Verbal,8,6,6,Yes,Highly Collaborating,5,Study Group,3,Intermediate
No,Data Analysis,Yes,Enjoy Communicating,Verbal,7,3,4,Yes,Highly Collaborating,5,Peer Discussion,3,Intermediate
No,Computer Vision,No,Dislike,Verbal,7,6,6,Yes,Independent,3,TextBook,6,Intermediate
No,Data Analysis,No,Neutral,Verbal,5,3,5,No,Highly Collaborating,3,TextBook,5,Intermediate
Yes,Deep Learning,No,Neutral,Written,9,6,3,Yes,Highly Collaborating,6,Online,3,Intermediate
No,NLP,Yes,Enjoy Communicating,Verbal,9,4,5,Yes,Independent,4,Study Group,4,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Verbal,7,3,5,No,Neutral,4,Peer Discussion,5,Intermediate
Yes,Computer Vision,Yes,Dislike,Verbal,6,5,6,Yes,Independent,6,TextBook,3,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,8,3,6,No,Highly Collaborating,3,TextBook,6,Intermediate
No,NLP,Yes,Neutral,Verbal,6,5,6,Yes,Neutral,3,TextBook,5,Intermediate
No,Data Analysis,Yes,Dislike,Verbal,5,6,5,No,Neutral,4,Study Group,4,Intermediate
Yes,NLP,No,Dislike,Written,2,3,5,Yes,Independent,6,TextBook,6,Intermediate
No,Data Analysis,Yes,Neutral,Written,9,4,3,No,Independent,4,Online,3,Intermediate
No,NLP,No,Enjoy Communicating,Written,10,6,5,Yes,Neutral,5,Study Group,5,Intermediate
Yes,NLP,Yes,Neutral,Written,6,4,5,Yes,Neutral,3,Online,4,Intermediate
Yes,Data Analysis,Yes,Dislike,Written,4,4,4,No,Highly Collaborating,5,Online,4,Intermediate
No,Computer Vision,No,Dislike,Verbal,9,5,6,No,Highly Collaborating,6,Study Group,5,Intermediate
Yes,NLP,No,Neutral,Written,1,4,4,Yes,Independent,6,Peer Discussion,6,Intermediate
No,Data Analysis,Yes,Enjoy Communicating,Verbal,7,6,5,Yes,Highly Collaborating,3,Online,6,Intermediate
Yes,Deep Learning,Yes,Dislike,Verbal,7,6,3,No,Neutral,4,Study Group,5,Intermediate
No,NLP,No,Neutral,Verbal,7,5,6,No,Independent,6,Online,3,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Written,4,3,5,No,Neutral,4,TextBook,4,Intermediate
Yes,Data Analysis,No,Dislike,Verbal,1,6,4,No,Neutral,5,Peer Discussion,3,Intermediate
Yes,Computer Vision,Yes,Dislike,Written,10,3,4,Yes,Independent,4,Study Group,3,Intermediate
Yes,NLP,No,Dislike,Verbal,9,3,3,Yes,Independent,4,TextBook,6,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Written,8,6,5,No,Highly Collaborating,5,Peer Discussion,6,Intermediate
No,Data Analysis,Yes,Enjoy Communicating,Verbal,10,3,3,No,Highly Collaborating,4,Online,6,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Verbal,2,3,6,No,Highly Collaborating,3,TextBook,3,Intermediate
No,Computer Vision,No,Enjoy Communicating,Verbal,9,4,5,Yes,Highly Collaborating,5,Peer Discussion,4,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Written,5,5,6,No,Independent,6,TextBook,4,Intermediate
No,NLP,Yes,Dislike,Written,10,5,4,No,Neutral,6,Online,4,Intermediate
No,NLP,No,Enjoy Communicating,Verbal,2,5,3,No,Neutral,5,Study Group,3,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,2,5,4,Yes,Neutral,4,Study Group,5,Intermediate
No,Data Analysis,No,Neutral,Verbal,2,3,5,Yes,Independent,5,Online,6,Intermediate
No,NLP,No,Neutral,Verbal,8,5,4,Yes,Neutral,4,Peer Discussion,6,Intermediate
No,NLP,No,Neutral,Verbal,2,3,6,Yes,Independent,5,TextBook,4,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Verbal,3,3,3,Yes,Highly Collaborating,6,Online,3,Intermediate
No,Computer Vision,No,Neutral,Verbal,7,5,6,No,Independent,3,Online,5,Intermediate
Yes,Data Analysis,Yes,Neutral,Written,3,6,6,Yes,Highly Collaborating,6,Online,3,Intermediate
Yes,NLP,Yes,Neutral,Written,10,6,5,No,Highly Collaborating,5,Peer Discussion,5,Intermediate
No,Computer Vision,Yes,Enjoy Communicating,Written,1,3,3,Yes,Independent,5,Online,6,Intermediate
No,Computer Vision,No,Enjoy Communicating,Verbal,6,5,5,No,Independent,6,TextBook,6,Intermediate
No,Computer Vision,No,Neutral,Written,8,5,5,No,Highly Collaborating,3,Peer Discussion,6,Intermediate
Yes,Data Analysis,No,Dislike,Verbal,3,4,6,Yes,Independent,3,Peer Discussion,3,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,8,6,3,Yes,Neutral,4,Online,3,Intermediate
Yes,Data Analysis,Yes,Dislike,Verbal,5,3,6,Yes,Highly Collaborating,4,Study Group,3,Intermediate
No,Computer Vision,No,Dislike,Written,8,4,5,Yes,Neutral,3,Study Group,5,Intermediate
No,Deep Learning,Yes,Dislike,Verbal,1,6,3,No,Highly Collaborating,3,Online,5,Intermediate
Yes,NLP,No,Dislike,Written,5,3,6,Yes,Independent,3,TextBook,3,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Written,10,4,3,No,Highly Collaborating,4,TextBook,3,Intermediate
Yes,NLP,Yes,Neutral,Verbal,7,6,5,No,Independent,6,Online,6,Intermediate
No,NLP,Yes,Enjoy Communicating,Verbal,4,3,3,No,Highly Collaborating,4,TextBook,3,Intermediate
Yes,NLP,No,Dislike,Written,10,5,6,No,Highly Collaborating,6,Peer Discussion,4,Intermediate
No,Deep Learning,No,Neutral,Verbal,7,3,4,Yes,Independent,3,Online,6,Intermediate
Yes,Deep Learning,Yes,Dislike,Verbal,9,3,5,No,Neutral,3,Study Group,4,Intermediate
Yes,Computer Vision,Yes,Neutral,Written,2,6,6,Yes,Highly Collaborating,6,Peer Discussion,4,Intermediate
No,Deep Learning,Yes,Dislike,Written,8,3,4,Yes,Highly Collaborating,5,TextBook,5,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Written,6,3,4,No,Highly Collaborating,3,Online,4,Intermediate
Yes,Data Analysis,No,Dislike,Verbal,2,4,6,No,Highly Collaborating,6,Online,6,Intermediate
No,Deep Learning,Yes,Neutral,Written,2,6,4,Yes,Neutral,3,Peer Discussion,5,Intermediate
Yes,Computer Vision,No,Neutral,Verbal,1,3,3,Yes,Neutral,6,Study Group,3,Intermediate
No,Computer Vision,Yes,Dislike,Verbal,4,4,6,No,Highly Collaborating,3,Peer Discussion,3,Intermediate
No,Deep Learning,No,Enjoy Communicating,Written,3,3,5,Yes,Independent,6,Online,3,Intermediate
Yes,Computer Vision,No,Neutral,Written,4,5,5,Yes,Neutral,3,Study Group,4,Intermediate
No,Deep Learning,Yes,Dislike,Verbal,1,4,6,Yes,Independent,5,Online,4,Intermediate
Yes,NLP,Yes,Neutral,Verbal,6,4,6,Yes,Highly Collaborating,6,Online,5,Intermediate
No,Deep Learning,Yes,Enjoy Communicating,Verbal,7,4,5,No,Neutral,5,TextBook,6,Intermediate
No,Deep Learning,No,Neutral,Verbal,9,6,3,No,Independent,4,TextBook,3,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Written,4,3,5,No,Independent,5,Peer Discussion,4,Intermediate
Yes,Computer Vision,Yes,Neutral,Verbal,10,4,3,Yes,Highly Collaborating,4,Online,5,Intermediate
No,Data Analysis,Yes,Enjoy Communicating,Verbal,8,3,6,No,Independent,4,Online,3,Intermediate
No,NLP,Yes,Enjoy Communicating,Verbal,5,5,5,Yes,Neutral,6,TextBook,4,Intermediate
Yes,Deep Learning,No,Neutral,Verbal,5,3,4,Yes,Highly Collaborating,5,TextBook,3,Intermediate
No,Data Analysis,Yes,Neutral,Verbal,4,3,5,No,Neutral,3,Peer Discussion,4,Intermediate
No,NLP,Yes,Enjoy Communicating,Verbal,8,6,4,No,Highly Collaborating,5,Peer Discussion,5,Intermediate
No,Deep Learning,Yes,Dislike,Verbal,8,6,6,No,Independent,4,TextBook,6,Intermediate
Yes,NLP,No,Neutral,Written,8,4,4,No,Highly Collaborating,3,Study Group,4,Intermediate
No,NLP,Yes,Enjoy Communicating,Written,7,6,5,Yes,Highly Collaborating,6,TextBook,3,Intermediate
Yes,Deep Learning,No,Neutral,Verbal,3,6,5,No,Highly Collaborating,6,Study Group,3,Intermediate
No,Computer Vision,No,Neutral,Written,10,4,4,No,Independent,4,TextBook,5,Intermediate
Yes,Deep Learning,Yes,Dislike,Written,4,6,6,No,Highly Collaborating,4,Study Group,5,Intermediate
No,NLP,Yes,Enjoy Communicating,Verbal,8,5,6,Yes,Independent,3,Peer Discussion,6,Intermediate
Yes,NLP,No,Dislike,Verbal,6,4,6,No,Highly Collaborating,4,Study Group,4,Intermediate
Yes,Data Analysis,No,Enjoy Communicating,Verbal,9,3,6,Yes,Neutral,3,Online,3,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,9,4,3,Yes,Neutral,3,TextBook,4,Intermediate
No,Computer Vision,Yes,Neutral,Written,10,5,6,Yes,Highly Collaborating,6,Online,6,Intermediate
No,NLP,No,Dislike,Verbal,9,3,5,No,Independent,6,Peer Discussion,5,Intermediate
No,Data Analysis,No,Dislike,Verbal,10,3,5,No,Independent,5,Online,6,Intermediate
No,Computer Vision,Yes,Neutral,Written,5,6,5,Yes,Neutral,5,Peer Discussion,4,Intermediate
No,Computer Vision,No,Neutral,Written,9,5,6,Yes,Neutral,4,Online,5,Intermediate
Yes,NLP,No,Dislike,Written,8,6,4,Yes,Highly Collaborating,3,Study Group,4,Intermediate
Yes,Data Analysis,No,Neutral,Written,2,6,3,No,Neutral,6,TextBook,5,Intermediate
No,NLP,Yes,Dislike,Written,3,6,6,No,Highly Collaborating,4,Peer Discussion,5,Intermediate
No,Computer Vision,Yes,Neutral,Written,5,5,4,No,Independent,3,Study Group,5,Intermediate
No,Deep Learning,Yes,Dislike,Verbal,10,4,6,Yes,Highly Collaborating,3,TextBook,3,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Written,4,6,6,No,Neutral,3,Study Group,4,Intermediate
Yes,Deep Learning,Yes,Enjoy Communicating,Verbal,2,6,3,Yes,Neutral,4,Online,6,Intermediate
No,Deep Learning,No,Dislike,Written,1,5,4,Yes,Highly Collaborating,3,Online,3,Intermediate
Yes,Data Analysis,Yes,Enjoy Communicating,Written,5,5,3,Yes,Independent,4,Study Group,5,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,3,5,3,Yes,Neutral,6,Online,3,Intermediate
Yes,Deep Learning,No,Dislike,Written,3,5,3,Yes,Highly Collaborating,5,Peer Discussion,6,Intermediate
Yes,Data Analysis,No,Neutral,Written,5,3,6,Yes,Independent,4,Study Group,3,Intermediate
No,Deep Learning,Yes,Dislike,Written,3,6,5,Yes,Highly Collaborating,5,Study Group,3,Intermediate
Yes,Computer Vision,Yes,Dislike,Written,3,5,6,No,Neutral,6,Peer Discussion,6,Intermediate
No,NLP,Yes,Enjoy Communicating,Written,10,6,3,No,Independent,5,Online,4,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,9,4,3,No,Neutral,5,Online,3,Intermediate
No,Computer Vision,Yes,Dislike,Written,3,3,6,No,Neutral,4,Peer Discussion,4,Intermediate
No,Deep Learning,No,Neutral,Written,3,6,6,No,Neutral,6,Online,5,Intermediate
No,NLP,Yes,Neutral,Written,3,5,4,Yes,Independent,6,TextBook,3,Intermediate
No,Computer Vision,No,Enjoy Communicating,Verbal,6,6,5,Yes,Neutral,4,Online,4,Intermediate
Yes,NLP,No,Dislike,Written,7,3,3,Yes,Independent,3,Online,6,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Written,5,6,3,Yes,Neutral,6,Peer Discussion,3,Intermediate
No,Data Analysis,Yes,Dislike,Written,10,3,6,Yes,Neutral,4,Online,5,Intermediate
No,NLP,No,Enjoy Communicating,Written,4,4,5,Yes,Neutral,5,TextBook,6,Intermediate
No,Data Analysis,Yes,Dislike,Written,5,5,3,Yes,Highly Collaborating,5,Peer Discussion,4,Intermediate
No,Computer Vision,Yes,Dislike,Written,6,6,5,Yes,Highly Collaborating,3,TextBook,6,Intermediate
Yes,Deep Learning,Yes,Neutral,Written,9,3,6,Yes,Neutral,3,Online,6,Intermediate
No,Computer Vision,No,Enjoy Communicating,Verbal,6,5,5,Yes,Highly Collaborating,3,Study Group,5,Intermediate
No,Deep Learning,No,Enjoy Communicating,Written,10,4,6,No,Highly Collaborating,3,Peer Discussion,6,Intermediate
No,Deep Learning,Yes,Dislike,Written,7,6,6,No,Independent,3,Study Group,5,Intermediate
No,Data Analysis,Yes,Enjoy Communicating,Verbal,8,3,4,Yes,Independent,5,Peer Discussion,4,Intermediate
Yes,Data Analysis,Yes,Dislike,Verbal,4,3,6,No,Neutral,4,Study Group,3,Intermediate
Yes,NLP,No,Neutral,Verbal,9,6,3,No,Neutral,3,TextBook,5,Intermediate
Yes,NLP,No,Enjoy Communicating,Written,6,5,5,Yes,Neutral,4,TextBook,4,Intermediate
Yes,Computer Vision,Yes,Dislike,Verbal,6,6,3,No,Neutral,5,Peer Discussion,5,Intermediate
Yes,NLP,Yes,Neutral,Verbal,7,4,5,Yes,Neutral,3,Online,3,Intermediate
Yes,Data Analysis,No,Neutral,Verbal,10,6,4,No,Independent,4,TextBook,6,Intermediate
No,Computer Vision,No,Dislike,Written,7,6,5,Yes,Independent,4,Online,3,Intermediate
No,Deep Learning,No,Neutral,Verbal,5,5,6,Yes,Independent,4,Peer Discussion,6,Intermediate
No,NLP,Yes,Dislike,Written,2,3,4,No,Independent,6,Study Group,3,Intermediate
Yes,Computer Vision,Yes,Enjoy Communicating,Verbal,10,5,3,No,Independent,4,Online,3,Intermediate
No,NLP,Yes,Neutral,Verbal,2,3,4,No,Independent,4,TextBook,3,Intermediate
Yes,Computer Vision,No,Neutral,Written,8,6,4,Yes,Independent,6,Study Group,3,Intermediate
